iter,t_ms,rss_mib,buffered_parts,buffered_mib,inflight_parts,cpu_pct
0,0,5405.3,0,0.0,0,150.7
0,500,6106.8,0,0.0,256,29.8
0,999,9430.1,34,1088.0,256,69.0
0,1499,14047.0,132,4224.0,256,93.9
0,2000,19613.9,176,5632.0,256,97.2
0,2500,24341.6,129,4128.0,256,93.1
0,2999,26288.3,57,1824.0,256,97.1
0,3499,26712.5,56,1792.0,256,89.9
0,4000,26876.9,91,2912.0,256,82.4
0,4499,26986.6,123,3936.0,256,80.8
0,4999,27293.2,44,1408.0,256,82.7
0,5499,27340.2,84,2688.0,256,82.3
0,5999,27358.2,57,1824.0,256,82.1
0,6500,27373.2,71,2272.0,256,81.2
0,7000,27410.9,77,2464.0,256,79.5
0,7500,27421.4,88,2816.0,256,80.1
0,8000,27420.0,31,992.0,256,83.5
0,8499,27431.0,87,2784.0,256,83.3
0,9003,27495.9,91,2912.0,256,85.6
0,9504,27504.9,39,1248.0,256,84.8
0,10003,27507.4,32,1024.0,256,83.5
0,10504,27517.9,49,1568.0,256,81.7
0,11004,27524.9,34,1088.0,256,83.3
0,11504,27526.0,45,1440.0,256,83.4
0,12004,27560.8,46,1472.0,256,83.8
0,12504,27564.8,43,1376.0,256,81.3
0,13005,27566.8,66,2112.0,256,83.5
0,13505,27569.8,43,1376.0,256,81.7
0,14004,27573.8,45,1440.0,256,83.4
0,14505,27576.8,53,1696.0,256,83.0
0,15004,27637.7,40,1280.0,256,83.7
0,15505,27640.2,80,2560.0,256,82.6
0,16004,27641.2,70,2240.0,256,81.6
0,16505,27646.2,86,2752.0,256,83.6
0,17005,27701.7,78,2496.0,256,82.1
0,17506,27714.7,41,1312.0,11,57.2
