iter,key,part_number,bytes,download_ms,vip,conn_id
0,bench/30gib-0.bin,55,33554432,339.07,16.15.33.174:443,
0,bench/30gib-0.bin,168,33554432,340.06,3.5.84.6:443,
0,bench/30gib-0.bin,249,33554432,340.69,16.15.33.174:443,
0,bench/30gib-0.bin,419,33554432,339.92,16.15.33.174:443,
0,bench/30gib-0.bin,257,33554432,341.36,3.5.84.6:443,
0,bench/30gib-0.bin,435,33554432,344.02,16.15.33.174:443,
0,bench/30gib-0.bin,268,33554432,353.85,16.15.33.174:443,
0,bench/30gib-0.bin,69,33554432,370.18,16.15.33.174:443,
0,bench/30gib-0.bin,171,33554432,372.40,16.15.33.174:443,
0,bench/30gib-0.bin,80,33554432,375.58,3.5.84.6:443,
0,bench/30gib-0.bin,156,33554432,392.80,3.5.77.103:443,
0,bench/30gib-0.bin,333,33554432,394.16,3.5.84.6:443,
0,bench/30gib-0.bin,467,33554432,410.10,3.5.84.6:443,
0,bench/30gib-0.bin,203,33554432,414.04,52.92.234.242:443,
0,bench/30gib-0.bin,195,33554432,415.62,52.92.200.50:443,
0,bench/30gib-0.bin,400,33554432,414.95,16.15.33.174:443,
0,bench/30gib-0.bin,313,33554432,420.23,16.15.33.174:443,
0,bench/30gib-0.bin,192,33554432,422.06,3.5.77.103:443,
0,bench/30gib-0.bin,187,33554432,423.78,16.15.33.174:443,
0,bench/30gib-0.bin,2,33554432,424.67,52.92.234.242:443,
0,bench/30gib-0.bin,328,33554432,426.30,16.15.33.174:443,
0,bench/30gib-0.bin,71,33554432,430.71,16.15.33.174:443,
0,bench/30gib-0.bin,165,33554432,434.30,16.15.33.174:443,
0,bench/30gib-0.bin,490,33554432,438.46,16.15.33.174:443,
0,bench/30gib-0.bin,184,33554432,443.28,16.15.33.174:443,
0,bench/30gib-0.bin,153,33554432,445.24,52.92.248.162:443,
0,bench/30gib-0.bin,358,33554432,445.59,3.5.84.6:443,
0,bench/30gib-0.bin,34,33554432,447.30,3.5.77.103:443,
0,bench/30gib-0.bin,316,33554432,449.54,52.92.234.242:443,
0,bench/30gib-0.bin,178,33554432,450.14,3.5.84.6:443,
0,bench/30gib-0.bin,96,33554432,452.59,16.15.33.174:443,
0,bench/30gib-0.bin,334,33554432,453.49,3.5.84.6:443,
0,bench/30gib-0.bin,143,33554432,456.10,16.15.33.174:443,
0,bench/30gib-0.bin,105,33554432,455.89,3.5.87.215:443,
0,bench/30gib-0.bin,345,33554432,457.68,3.5.84.6:443,
0,bench/30gib-0.bin,52,33554432,462.01,16.15.33.174:443,
0,bench/30gib-0.bin,454,33554432,461.65,3.5.84.6:443,
0,bench/30gib-0.bin,351,33554432,463.43,16.15.33.174:443,
